,Channel,Subscribers,Subscribers for the last 30 days,% change,Video views for the last 30 days,% change
0,Vật Vờ Studio,2.28M,,,3.885M,-15.4%
1,Duy Thẩm,1.78M,40K,+0.0%,52.362M,+35.9%
2,Tony Phùng Studio,574K,3K,+0.0%,2.496M,-9.4%
3,Tân Một Cú,505K,,,250.705K,+101.5%
4,AnhEm TV,1.38M,30K,+200.0%,46.037M,+90.8%
5,Vinh Xô,256K,2K,-60%,2.994M,-3.6%
6,Tinh Tế,974K,3K,-25%,2.65M,-9.3%
7,Relab,764K,7K,+40.0%,10.662M,+22.8%
8,Khôi Ngọng,131K,1K,+0.0%,1.492M,+40.2%
9,Duy Luân Dễ Thương,215K,10K,-16.7%,3.965M,-8.9%
10,Công Nghệ Lõi,21.9K,,,3.975K,-8.1%
11,MobileCity,162K,20K,-45.9%,30.096M,-25.5%
12,Tuấn Ngọc đây!,231K,5K,+25.0%,5.477M,+64.5%
13,Lee Tùn Zân - Review Và Tặng Lại,72K,1.1K,-8.3%,937.223K,+42.5%
14,ĐAM MÊ CÔNG NGHỆ,475K,7K,-12.5%,9.106M,+16.4%
