,Channel,Positive count,Neutral count,Negative count,Sentiment
0,Bếp Trưởng Review,0,1,2,-2
1,Cô Ba Bình Dương,77,5,25,71
2,Dũng béo ẩm thực phố phường,23,4,34,-46
3,Hanoi food,14,0,19,-13
4,Hôm nay ăn gì?,7,7,22,-172
5,Khoai lang thang,0,0,0,0
6,Max McFarlin,45,0,15,795
7,Ninh Tito,26,3,11,14
8,Ok Con Dê,17,2,29,-24
9,Sapa TV,93,9,99,93
10,Thằng Mập Food,78,4,48,52
11,VNT Food & Travel,15,0,5,13
12,Ông Anh thích nấu ăn,3,1,1,2
13,ĐI ĐÂU ĂN GÌ ?,2,1,9,-8
14,Ẩm thực mẹ làm,48,5,7,353
