,Channel,Subscribers,Subscribers for the last 30 days,% change,Video views for the last 30 days,% change.1
0,Vật Vờ Studio,2280000.0,11500.0,-14.541666666666666,3715000.0,-12.1
1,Duy Thẩm,1780000.0,50000.0,-16.7,53787000.0,32.8
2,Tony Phùng Studio,574000.0,3000.0,0.0,2434000.0,-8.9
3,Tân Một Cú,505000.0,11500.0,-14.541666666666666,251072.0,85.2
4,AnhEm TV,1370000.0,20000.0,0.0,46855000.0,91.1
5,Vinh Xô,256000.0,2000.0,-40.0,2829000.0,-4.7
6,Tinh Tế,973000.0,3000.0,0.0,2794000.0,6.0
7,Relab,763000.0,7000.0,16.7,10899000.0,33.3
8,Khôi Ngọng,131000.0,1000.0,-50.0,1403000.0,27.0
9,Duy Luân Dễ Thương,214000.0,9000.0,-16.7,3839000.0,-4.5
10,Công Nghệ Lõi,219000.0,11500.0,-14.541666666666666,4104.0,0.4
11,MobileCity,161000.0,20000.0,-46.4,30206000.0,-14.4
12,Tuấn Ngọc đây!,231000.0,5000.0,0.0,5485000.0,56.5
13,Lee Tùn Zân - Review Và Tặng Lại,718000.0,11000.0,-21.4,897598.0,29.9
14,ĐAM MÊ CÔNG NGHỆ,475000.0,7000.0,0.0,9576000.0,16.5
